name,pseudo_mIoU,pseudo_mprecision,pseudo_mrecall,enhanced_mIoU,enhanced_mprecision,enhanced_mrecall,mIoU_delta,mprecision_delta,mrecall_delta
2007_007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_007773,0.032,0.032,1.0,0.031,0.031,1.0,-0.0010000000000000009,-0.0010000000000000009,0.0
2007_007783,0.765,0.785,0.97,0.8,0.815,0.98,0.03500000000000003,0.029999999999999916,0.010000000000000009
2007_007878,0.468,0.567,0.741,0.473,0.574,0.742,0.004999999999999949,0.007000000000000006,0.0010000000000000009
2007_007890,0.275,0.778,0.298,0.261,0.892,0.27,-0.014000000000000012,0.11399999999999999,-0.02799999999999997
2007_007891,0.514,0.947,0.529,0.564,0.969,0.574,0.04999999999999993,0.02200000000000002,0.04499999999999993
2007_007902,0.732,0.79,0.91,0.78,0.84,0.918,0.04800000000000004,0.04999999999999993,0.008000000000000007
2007_007908,0.057,1.0,0.057,0.061,1.0,0.061,0.003999999999999997,0.0,0.003999999999999997
2007_007930,0.627,0.939,0.653,0.894,0.936,0.952,0.267,-0.0029999999999998916,0.29899999999999993
2007_007947,0.482,0.769,0.563,0.517,0.804,0.592,0.03500000000000003,0.03500000000000003,0.029000000000000026
2007_007948,0.893,0.906,0.984,0.965,0.978,0.986,0.07199999999999995,0.07199999999999995,0.0020000000000000018
2007_008043,0.964,0.99,0.974,0.975,0.992,0.982,0.01100000000000001,0.0020000000000000018,0.008000000000000007
2007_008072,0.609,0.67,0.872,0.634,0.693,0.879,0.025000000000000022,0.02299999999999991,0.007000000000000006
2007_008085,0.743,0.941,0.779,0.08,0.08,0.998,-0.663,-0.861,0.21899999999999997
2007_008140,0.495,0.86,0.539,0.498,0.864,0.54,0.0030000000000000027,0.0040000000000000036,0.0010000000000000009
2007_008142,0.833,0.886,0.934,0.857,0.903,0.944,0.02400000000000002,0.017000000000000015,0.009999999999999898
2007_008203,0.491,0.798,0.561,0.859,0.871,0.984,0.368,0.07299999999999995,0.42299999999999993
2007_008218,0.908,0.972,0.932,0.928,0.985,0.942,0.020000000000000018,0.013000000000000012,0.009999999999999898
2007_008219,0.814,0.817,0.995,0.981,0.985,0.996,0.16700000000000004,0.16800000000000004,0.0010000000000000009
2007_008307,0.754,0.819,0.906,0.756,0.819,0.909,0.0020000000000000018,0.0,0.0030000000000000027
2007_008403,0.511,0.977,0.517,0.527,0.987,0.53,0.016000000000000014,0.010000000000000009,0.013000000000000012
2007_008407,0.414,0.425,0.953,0.42,0.427,0.966,0.006000000000000005,0.0020000000000000018,0.013000000000000012
2007_008468,0.145,0.526,0.18,0.151,0.568,0.176,0.006000000000000005,0.041999999999999926,-0.0040000000000000036
2007_008526,0.484,0.516,0.891,0.477,0.509,0.892,-0.007000000000000006,-0.007000000000000006,0.0010000000000000009
2007_008571,0.984,0.994,0.99,0.99,0.995,0.995,0.006000000000000005,0.0010000000000000009,0.0050000000000000044
2007_008575,0.99,0.992,0.998,0.995,0.995,1.0,0.0050000000000000044,0.0030000000000000027,0.0020000000000000018
2007_008714,0.994,0.999,0.994,0.998,1.0,0.998,0.0040000000000000036,0.0010000000000000009,0.0040000000000000036
2007_008764,0.844,0.85,0.992,0.93,0.939,0.99,0.08600000000000008,0.08899999999999997,-0.0020000000000000018
2007_008778,0.619,0.643,0.934,0.635,0.651,0.953,0.016000000000000014,0.008000000000000007,0.018999999999999906
2007_008801,0.241,0.258,0.795,0.272,0.29,0.849,0.031000000000000028,0.03199999999999997,0.05399999999999994
2007_008821,0.057,0.076,0.17,0.043,0.061,0.131,-0.014000000000000005,-0.015,-0.03900000000000001
2007_008927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_008932,0.917,0.985,0.93,0.924,0.985,0.939,0.007000000000000006,0.0,0.008999999999999897
2007_008945,0.99,0.992,0.998,0.992,0.993,0.999,0.0020000000000000018,0.0010000000000000009,0.0010000000000000009
2007_008948,0.396,0.399,0.985,0.427,0.427,0.999,0.030999999999999972,0.02799999999999997,0.014000000000000012
2007_008994,0.661,0.669,0.982,0.767,0.772,0.99,0.10599999999999998,0.10299999999999998,0.008000000000000007
2007_009030,0.51,0.514,0.985,0.509,0.515,0.976,-0.0010000000000000009,0.0010000000000000009,-0.009000000000000008
2007_009052,0.941,0.959,0.98,0.951,0.962,0.989,0.010000000000000009,0.0030000000000000027,0.009000000000000008
2007_009082,0.989,0.999,0.99,0.998,1.0,0.998,0.009000000000000008,0.0010000000000000009,0.008000000000000007
2007_009139,0.84,0.87,0.961,0.864,0.89,0.968,0.02400000000000002,0.020000000000000018,0.007000000000000006
2007_009209,0.407,0.77,0.512,0.42,0.773,0.528,0.013000000000000012,0.0030000000000000027,0.016000000000000014
2007_009216,0.874,0.989,0.882,0.867,0.989,0.874,-0.007000000000000006,0.0,-0.008000000000000007
2007_009295,0.557,0.638,0.818,0.562,0.627,0.848,0.0050000000000000044,-0.01100000000000001,0.030000000000000027
2007_009322,0.117,0.18,0.416,0.183,0.279,0.514,0.06599999999999999,0.09900000000000003,0.09800000000000003
2007_009327,0.734,0.878,0.846,0.841,0.851,0.987,0.10699999999999998,-0.027000000000000024,0.14100000000000001
2007_009348,0.162,0.163,0.957,0.195,0.197,0.961,0.033,0.034,0.0040000000000000036
2007_009422,0.931,0.932,0.999,0.941,0.942,0.999,0.009999999999999898,0.009999999999999898,0.0
2007_009435,0.649,0.686,0.939,0.659,0.698,0.941,0.010000000000000009,0.0119999999999999,0.0020000000000000018
2007_009436,0.881,0.952,0.926,0.911,0.952,0.957,0.030000000000000027,0.0,0.030999999999999917
2007_009464,0.974,0.986,0.988,0.985,0.993,0.992,0.01100000000000001,0.007000000000000006,0.0040000000000000036
2007_009527,0.727,0.734,0.986,0.72,0.737,0.968,-0.007000000000000006,0.0030000000000000027,-0.018000000000000016
2007_009533,0.158,0.158,0.993,0.177,0.177,0.994,0.01899999999999999,0.01899999999999999,0.0010000000000000009
2007_009550,0.179,0.35,0.303,0.188,0.377,0.309,0.009000000000000008,0.027000000000000024,0.006000000000000005
2007_009554,0.554,0.63,0.814,0.585,0.646,0.865,0.030999999999999917,0.016000000000000014,0.051000000000000045
2007_009580,0.331,0.331,0.998,0.346,0.347,0.998,0.014999999999999958,0.01599999999999996,0.0
2007_009594,0.503,0.507,0.984,0.511,0.511,0.998,0.008000000000000007,0.0040000000000000036,0.014000000000000012
2007_009597,0.933,0.95,0.981,0.951,0.958,0.993,0.017999999999999905,0.008000000000000007,0.01200000000000001
2007_009605,0.974,0.988,0.986,0.988,0.988,1.0,0.014000000000000012,0.0,0.014000000000000012
2007_009607,0.976,0.999,0.977,0.985,0.999,0.986,0.009000000000000008,0.0,0.009000000000000008
2007_009618,0.213,0.252,0.636,0.246,0.294,0.647,0.033,0.04199999999999998,0.01100000000000001
2007_009630,0.599,0.702,0.79,0.619,0.654,0.935,0.020000000000000018,-0.04799999999999993,0.14500000000000002
2007_009649,0.57,0.703,0.806,0.607,0.744,0.815,0.03700000000000003,0.041000000000000036,0.008999999999999897
2007_009665,0.429,0.811,0.476,0.437,0.992,0.439,0.008000000000000007,0.18099999999999994,-0.03699999999999998
2007_009709,0.788,0.949,0.822,0.802,0.968,0.823,0.014000000000000012,0.019000000000000017,0.0010000000000000009
2007_009724,0.943,0.947,0.996,0.959,0.962,0.996,0.016000000000000014,0.015000000000000013,0.0
2007_009759,0.822,0.997,0.824,0.823,0.999,0.824,0.0010000000000000009,0.0020000000000000018,0.0
2007_009779,0.773,0.813,0.94,0.849,0.889,0.951,0.07599999999999996,0.07600000000000007,0.01100000000000001
2007_009788,0.7,0.708,0.986,0.673,0.676,0.992,-0.026999999999999913,-0.03199999999999992,0.006000000000000005
2007_009807,0.992,0.996,0.995,1.0,1.0,1.0,0.008000000000000007,0.0040000000000000036,0.0050000000000000044
2007_009832,0.987,0.994,0.993,0.993,0.995,0.999,0.006000000000000005,0.0010000000000000009,0.006000000000000005
2007_009889,0.97,0.985,0.984,0.985,0.987,0.997,0.015000000000000013,0.0020000000000000018,0.013000000000000012
2007_009899,0.996,0.998,0.998,0.997,0.999,0.998,0.0010000000000000009,0.0010000000000000009,0.0
2007_009901,0.16,0.167,0.459,0.178,0.184,0.47,0.017999999999999988,0.016999999999999987,0.010999999999999954
2007_009947,0.869,0.898,0.964,0.936,0.956,0.978,0.06700000000000006,0.05799999999999994,0.014000000000000012
2007_009950,0.894,0.996,0.898,0.894,0.995,0.898,0.0,-0.0010000000000000009,0.0
2008_000015,0.712,0.726,0.973,0.727,0.732,0.991,0.015000000000000013,0.006000000000000005,0.018000000000000016
2008_000019,0.924,0.941,0.981,0.955,0.971,0.983,0.030999999999999917,0.030000000000000027,0.0020000000000000018
2008_000028,0.332,0.921,0.341,0.421,0.957,0.429,0.08899999999999997,0.03599999999999992,0.08799999999999997
2008_000033,0.993,1.0,0.994,1.0,1.0,1.0,0.007000000000000006,0.0,0.006000000000000005
2008_000074,0.931,0.946,0.983,0.999,1.0,0.999,0.06799999999999995,0.05400000000000005,0.016000000000000014
2008_000089,0.477,0.477,0.999,0.488,0.488,0.999,0.01100000000000001,0.01100000000000001,0.0
2008_000103,0.975,0.994,0.981,0.995,0.996,1.0,0.020000000000000018,0.0020000000000000018,0.019000000000000017
2008_000105,0.872,0.985,0.884,0.986,0.992,0.994,0.11399999999999999,0.007000000000000006,0.10999999999999999
2008_000131,0.82,0.956,0.852,0.925,1.0,0.925,0.1050000000000001,0.04400000000000004,0.07300000000000006
2008_000144,0.762,0.812,0.926,0.877,0.901,0.97,0.11499999999999999,0.08899999999999997,0.04399999999999993
2008_000162,0.737,0.999,0.738,0.954,0.999,0.955,0.21699999999999997,0.0,0.21699999999999997
2008_000187,0.905,0.936,0.965,0.988,0.993,0.995,0.08299999999999996,0.05699999999999994,0.030000000000000027
2008_000188,0.868,0.959,0.901,0.899,0.967,0.928,0.031000000000000028,0.008000000000000007,0.027000000000000024
2008_000197,0.975,1.0,0.975,0.999,1.0,0.999,0.02400000000000002,0.0,0.02400000000000002
2008_000207,0.938,0.958,0.979,0.96,0.961,0.999,0.02200000000000002,0.0030000000000000027,0.020000000000000018
2008_000217,0.987,0.991,0.996,0.994,0.994,0.999,0.007000000000000006,0.0030000000000000027,0.0030000000000000027
2008_000226,0.398,0.461,0.748,0.389,0.405,0.918,-0.009000000000000008,-0.055999999999999994,0.17000000000000004
2008_000235,0.867,0.885,0.979,0.914,0.915,0.999,0.04700000000000004,0.030000000000000027,0.020000000000000018
2008_000238,0.96,0.962,0.997,0.988,0.989,0.999,0.028000000000000025,0.027000000000000024,0.0020000000000000018
2008_000259,0.141,0.805,0.146,0.091,0.886,0.092,-0.04999999999999999,0.08099999999999996,-0.05399999999999999
2008_000273,0.713,0.758,0.925,0.743,0.807,0.907,0.030000000000000027,0.049000000000000044,-0.018000000000000016
2008_000284,0.002,0.037,0.002,0.002,0.036,0.002,0.0,-0.0010000000000000009,0.0
2008_000287,0.738,0.887,0.815,0.723,0.885,0.798,-0.015000000000000013,-0.0020000000000000018,-0.016999999999999904
2008_000289,0.637,0.996,0.639,0.996,0.997,1.0,0.359,0.0010000000000000009,0.361
2008_000290,0.698,0.765,0.899,0.699,0.765,0.901,0.0010000000000000009,0.0,0.0020000000000000018
2008_000309,0.273,0.297,0.771,0.268,0.293,0.76,-0.0050000000000000044,-0.0040000000000000036,-0.01100000000000001
2008_000316,0.337,0.992,0.338,0.991,0.997,0.994,0.6539999999999999,0.0050000000000000044,0.6559999999999999
2008_000336,0.935,0.953,0.98,0.936,0.94,0.995,0.0010000000000000009,-0.013000000000000012,0.015000000000000013
2008_000348,0.536,0.596,0.842,0.605,0.616,0.973,0.06899999999999995,0.020000000000000018,0.131
2008_000361,0.969,0.983,0.986,0.991,0.991,1.0,0.02200000000000002,0.008000000000000007,0.014000000000000012
2008_000365,0.911,0.929,0.98,0.978,0.978,0.999,0.06699999999999995,0.04899999999999993,0.019000000000000017
2008_000399,0.895,0.91,0.981,0.989,0.993,0.996,0.09399999999999997,0.08299999999999996,0.015000000000000013
2008_000400,0.971,0.994,0.976,0.988,0.997,0.991,0.017000000000000015,0.0030000000000000027,0.015000000000000013
2008_000415,0.483,0.484,0.994,0.458,0.459,0.995,-0.024999999999999967,-0.024999999999999967,0.0010000000000000009
2008_000422,0.98,0.986,0.994,0.991,0.992,0.999,0.01100000000000001,0.006000000000000005,0.0050000000000000044
2008_000436,0.488,0.489,0.998,0.482,0.482,0.998,-0.006000000000000005,-0.007000000000000006,0.0
2008_000470,0.793,0.974,0.81,0.994,0.998,0.996,0.20099999999999996,0.02400000000000002,0.18599999999999994
2008_000491,0.302,0.972,0.304,0.2,0.964,0.202,-0.10199999999999998,-0.008000000000000007,-0.10199999999999998
2008_000495,0.336,0.378,0.661,0.302,0.322,0.595,-0.03400000000000003,-0.055999999999999994,-0.06600000000000006
2008_000505,0.535,0.536,0.994,0.526,0.527,0.995,-0.009000000000000008,-0.009000000000000008,0.0010000000000000009
2008_000515,0.968,0.992,0.976,0.962,0.992,0.97,-0.006000000000000005,0.0,-0.006000000000000005
2008_000540,0.937,0.997,0.94,0.997,0.999,0.998,0.05999999999999994,0.0020000000000000018,0.05800000000000005
2008_000544,0.933,0.934,0.998,0.93,0.93,1.0,-0.0030000000000000027,-0.0040000000000000036,0.0020000000000000018
2008_000567,0.871,0.89,0.976,0.906,0.925,0.977,0.03500000000000003,0.03500000000000003,0.0010000000000000009
2008_000578,0.386,0.553,0.44,0.368,0.497,0.447,-0.018000000000000016,-0.05600000000000005,0.007000000000000006
2008_000584,0.742,0.893,0.814,0.899,0.905,0.992,0.15700000000000003,0.01200000000000001,0.17800000000000005
2008_000588,0.562,0.581,0.961,0.567,0.581,0.97,0.004999999999999893,0.0,0.009000000000000008
2008_000595,0.739,0.744,0.99,0.868,0.868,1.0,0.129,0.124,0.010000000000000009
2008_000626,0.622,0.622,0.999,0.627,0.629,0.994,0.0050000000000000044,0.007000000000000006,-0.0050000000000000044
2008_000645,0.129,0.826,0.133,0.14,0.82,0.144,0.01100000000000001,-0.006000000000000005,0.010999999999999982
2008_000676,0.97,0.994,0.976,0.984,0.994,0.99,0.014000000000000012,0.0,0.014000000000000012
2008_000696,0.649,0.997,0.65,0.939,0.999,0.94,0.2899999999999999,0.0020000000000000018,0.2899999999999999
2008_000711,0.99,0.994,0.996,0.989,0.989,1.0,-0.0010000000000000009,-0.0050000000000000044,0.0040000000000000036
2008_000716,0.768,0.77,0.996,0.78,0.781,0.999,0.01200000000000001,0.01100000000000001,0.0030000000000000027
2008_000733,0.447,0.447,1.0,0.45,0.45,1.0,0.0030000000000000027,0.0030000000000000027,0.0
2008_000760,0.315,0.724,0.358,0.281,0.702,0.318,-0.033999999999999975,-0.02200000000000002,-0.03999999999999998
2008_000764,0.268,0.297,0.846,0.301,0.335,0.855,0.032999999999999974,0.038000000000000034,0.009000000000000008
2008_000778,0.563,0.563,0.999,0.56,0.56,1.0,-0.0029999999999998916,-0.0029999999999998916,0.0010000000000000009
2008_000785,0.96,0.999,0.961,0.977,1.0,0.977,0.017000000000000015,0.0010000000000000009,0.016000000000000014
2008_000832,0.958,0.971,0.986,0.963,0.971,0.992,0.0050000000000000044,0.0,0.006000000000000005
2008_000841,0.981,0.985,0.995,0.988,0.989,0.998,0.007000000000000006,0.0040000000000000036,0.0030000000000000027
2008_000860,0.782,0.787,0.992,0.774,0.775,0.998,-0.008000000000000007,-0.01200000000000001,0.006000000000000005
2008_000861,0.671,0.677,0.987,0.716,0.723,0.987,0.04499999999999993,0.04599999999999993,0.0
2008_000870,0.134,0.19,0.343,0.137,0.194,0.355,0.0030000000000000027,0.0040000000000000036,0.011999999999999955
2008_000923,0.689,0.694,0.989,0.779,0.786,0.988,0.09000000000000008,0.09200000000000008,-0.0010000000000000009
2008_001030,0.962,0.975,0.986,0.932,0.939,0.993,-0.029999999999999916,-0.03600000000000003,0.007000000000000006
2008_001056,0.026,0.026,0.67,0.036,0.036,0.934,0.009999999999999998,0.009999999999999998,0.264
2008_001106,0.923,0.933,0.989,0.897,0.898,0.999,-0.026000000000000023,-0.03500000000000003,0.010000000000000009
2008_001112,0.957,0.972,0.984,1.0,1.0,1.0,0.04300000000000004,0.028000000000000025,0.016000000000000014
2008_001118,0.805,0.928,0.859,0.941,0.95,0.99,0.1359999999999999,0.02199999999999991,0.131
2008_001119,0.728,0.795,0.905,0.721,0.793,0.898,-0.007000000000000006,-0.0020000000000000018,-0.007000000000000006
2008_001137,0.932,0.951,0.979,0.942,0.954,0.987,0.009999999999999898,0.0030000000000000027,0.008000000000000007
2008_001159,0.317,0.317,1.0,0.319,0.319,1.0,0.0020000000000000018,0.0020000000000000018,0.0
2008_001169,0.471,0.473,0.498,0.316,0.316,0.499,-0.15499999999999997,-0.15699999999999997,0.0010000000000000009
2008_001188,0.909,0.91,0.999,0.938,0.938,1.0,0.028999999999999915,0.027999999999999914,0.0010000000000000009
2008_001203,0.085,0.085,0.978,0.086,0.086,0.986,0.000999999999999987,0.000999999999999987,0.008000000000000007
2008_001208,0.972,0.975,0.996,0.979,0.979,1.0,0.007000000000000006,0.0040000000000000036,0.0040000000000000036
2008_001215,0.906,0.995,0.911,0.944,0.999,0.945,0.03799999999999992,0.0040000000000000036,0.03399999999999992
2008_001235,0.899,0.998,0.9,0.981,0.999,0.982,0.08199999999999996,0.0010000000000000009,0.08199999999999996
2008_001245,0.841,0.849,0.989,0.845,0.849,0.994,0.0040000000000000036,0.0,0.0050000000000000044
2008_001263,0.983,0.988,0.995,0.986,0.987,0.999,0.0030000000000000027,-0.0010000000000000009,0.0040000000000000036
2008_001274,0.851,0.859,0.989,0.986,0.987,0.999,0.135,0.128,0.010000000000000009
2008_001358,0.816,0.927,0.864,0.868,0.934,0.92,0.052000000000000046,0.007000000000000006,0.05600000000000005
2008_001375,0.286,0.328,0.874,0.29,0.33,0.878,0.0040000000000000036,0.0020000000000000018,0.0040000000000000036
2008_001387,0.779,0.828,0.929,0.834,0.849,0.98,0.05499999999999994,0.02100000000000002,0.050999999999999934
2008_001399,0.994,0.997,0.997,0.998,0.998,0.999,0.0040000000000000036,0.0010000000000000009,0.0020000000000000018
2008_001402,0.725,0.765,0.944,0.717,0.745,0.96,-0.008000000000000007,-0.020000000000000018,0.016000000000000014
2008_001408,0.993,0.996,0.997,1.0,1.0,1.0,0.007000000000000006,0.0040000000000000036,0.0030000000000000027
2008_001413,0.38,0.989,0.384,0.339,0.989,0.343,-0.04099999999999998,0.0,-0.04099999999999998
2008_001462,0.933,0.947,0.984,0.996,0.996,1.0,0.06299999999999994,0.049000000000000044,0.016000000000000014
2008_001467,0.509,0.583,0.847,0.507,0.59,0.838,-0.0020000000000000018,0.007000000000000006,-0.009000000000000008
2008_001479,0.919,0.924,0.994,0.911,0.912,0.999,-0.008000000000000007,-0.01200000000000001,0.0050000000000000044
2008_001498,0.936,0.996,0.94,0.998,0.999,0.998,0.061999999999999944,0.0030000000000000027,0.05800000000000005
2008_001510,0.917,0.921,0.996,0.887,0.888,0.998,-0.030000000000000027,-0.03300000000000003,0.0020000000000000018
2008_001523,0.383,0.421,0.871,0.316,0.342,0.881,-0.067,-0.07899999999999996,0.010000000000000009
2008_001566,0.19,0.207,0.837,0.258,0.26,0.99,0.068,0.05300000000000002,0.15300000000000002
2008_001592,0.916,0.962,0.951,0.99,0.993,0.997,0.07399999999999995,0.031000000000000028,0.04600000000000004
2008_001601,0.928,0.988,0.939,0.932,0.991,0.94,0.0040000000000000036,0.0030000000000000027,0.0010000000000000009
2008_001610,0.915,0.96,0.951,0.979,0.981,0.998,0.06399999999999995,0.02100000000000002,0.04700000000000004
2008_001632,0.864,0.887,0.971,0.985,0.985,1.0,0.121,0.09799999999999998,0.029000000000000026
2008_001643,0.59,0.92,0.625,0.661,0.964,0.678,0.07100000000000006,0.04399999999999993,0.05300000000000005
2008_001691,0.945,0.949,0.995,0.968,0.968,1.0,0.02300000000000002,0.019000000000000017,0.0050000000000000044
2008_001716,0.819,0.835,0.977,0.844,0.844,1.0,0.025000000000000022,0.009000000000000008,0.02300000000000002
2008_001719,0.974,0.999,0.975,0.998,1.0,0.998,0.02400000000000002,0.0010000000000000009,0.02300000000000002
2008_001741,0.988,0.993,0.995,0.994,0.996,0.998,0.006000000000000005,0.0030000000000000027,0.0030000000000000027
2008_001761,0.939,0.997,0.941,0.983,1.0,0.983,0.04400000000000004,0.0030000000000000027,0.04200000000000004
2008_001787,0.69,0.692,0.996,0.676,0.676,1.0,-0.013999999999999901,-0.015999999999999903,0.0040000000000000036
2008_001829,0.988,0.998,0.99,0.995,0.999,0.996,0.007000000000000006,0.0010000000000000009,0.006000000000000005
2008_001876,0.942,0.989,0.952,0.683,0.684,0.997,-0.2589999999999999,-0.30499999999999994,0.04500000000000004
2008_001882,0.822,0.83,0.988,0.82,0.82,1.0,-0.0020000000000000018,-0.010000000000000009,0.01200000000000001
2008_001896,0.694,0.694,0.999,0.69,0.69,1.0,-0.0040000000000000036,-0.0040000000000000036,0.0010000000000000009
2008_001926,0.835,0.838,0.995,0.893,0.896,0.996,0.05800000000000005,0.05800000000000005,0.0010000000000000009
2008_001997,0.514,0.518,0.986,0.512,0.515,0.988,-0.0020000000000000018,-0.0030000000000000027,0.0020000000000000018
2008_002032,0.385,0.436,0.888,0.395,0.444,0.895,0.010000000000000009,0.008000000000000007,0.007000000000000006
2008_002064,0.973,0.999,0.974,0.993,1.0,0.993,0.020000000000000018,0.0010000000000000009,0.019000000000000017
2008_002066,0.75,0.754,0.993,0.763,0.768,0.992,0.013000000000000012,0.014000000000000012,-0.0010000000000000009
2008_002067,0.719,0.851,0.854,0.944,0.987,0.957,0.22499999999999998,0.136,0.10299999999999998
2008_002073,0.994,1.0,0.994,0.999,1.0,0.999,0.0050000000000000044,0.0,0.0050000000000000044
2008_002079,0.578,0.665,0.641,0.558,0.638,0.58,-0.019999999999999907,-0.027000000000000024,-0.061000000000000054
2008_002080,0.555,0.623,0.834,0.714,0.718,0.992,0.15899999999999992,0.09499999999999997,0.15800000000000003
2008_002123,0.61,0.66,0.908,0.665,0.712,0.922,0.05500000000000005,0.051999999999999935,0.014000000000000012
2008_002160,0.932,0.989,0.942,0.979,0.989,0.989,0.04699999999999993,0.0,0.04700000000000004
2008_002175,0.338,0.624,0.483,0.347,0.653,0.487,0.008999999999999952,0.029000000000000026,0.0040000000000000036
2008_002177,0.967,0.994,0.973,0.993,1.0,0.993,0.026000000000000023,0.006000000000000005,0.020000000000000018
2008_002182,0.943,0.976,0.965,0.955,0.967,0.988,0.01200000000000001,-0.009000000000000008,0.02300000000000002
2008_002200,0.96,0.983,0.976,0.974,0.984,0.99,0.014000000000000012,0.0010000000000000009,0.014000000000000012
2008_002210,0.924,0.972,0.95,0.918,0.97,0.944,-0.006000000000000005,-0.0020000000000000018,-0.006000000000000005
2008_002215,0.947,0.977,0.968,0.964,0.971,0.993,0.017000000000000015,-0.006000000000000005,0.025000000000000022
2008_002218,0.583,0.797,0.689,0.591,0.789,0.708,0.008000000000000007,-0.008000000000000007,0.019000000000000017
2008_002221,0.997,1.0,0.997,0.999,1.0,0.999,0.0020000000000000018,0.0,0.0020000000000000018
2008_002247,0.957,0.998,0.959,0.991,0.999,0.993,0.03400000000000003,0.0010000000000000009,0.03400000000000003
2008_002248,0.968,0.97,0.998,0.999,0.999,1.0,0.031000000000000028,0.029000000000000026,0.0020000000000000018
2008_002255,0.951,0.957,0.994,0.99,0.99,1.0,0.039000000000000035,0.03300000000000003,0.006000000000000005
2008_002258,0.926,0.944,0.98,0.98,0.981,0.999,0.05399999999999994,0.03700000000000003,0.019000000000000017
2008_002288,0.247,0.247,1.0,0.256,0.256,0.999,0.009000000000000008,0.009000000000000008,-0.0010000000000000009
2008_002338,0.911,0.928,0.981,0.968,0.97,0.998,0.05699999999999994,0.041999999999999926,0.017000000000000015
2008_002411,0.717,0.767,0.92,0.753,0.792,0.942,0.03600000000000003,0.025000000000000022,0.02199999999999991
2008_002425,0.204,0.204,0.993,0.219,0.219,1.0,0.015000000000000013,0.015000000000000013,0.007000000000000006
2008_002471,0.797,0.804,0.99,0.808,0.809,0.999,0.01100000000000001,0.0050000000000000044,0.009000000000000008
2008_002473,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008_002551,0.884,0.928,0.949,0.899,0.941,0.952,0.015000000000000013,0.0129999999999999,0.0030000000000000027
2008_002641,0.377,0.822,0.41,0.376,0.819,0.41,-0.0010000000000000009,-0.0030000000000000027,0.0
2008_002650,0.232,0.998,0.232,0.997,1.0,0.997,0.765,0.0020000000000000018,0.765
2008_002697,0.9,0.998,0.902,0.996,0.999,0.997,0.09599999999999997,0.0010000000000000009,0.09499999999999997
2008_002704,0.941,0.954,0.986,0.991,0.991,1.0,0.050000000000000044,0.03700000000000003,0.014000000000000012
2008_002710,0.909,0.921,0.986,0.999,0.999,1.0,0.08999999999999997,0.07799999999999996,0.014000000000000012
2008_002719,0.974,1.0,0.974,0.998,1.0,0.998,0.02400000000000002,0.0,0.02400000000000002
2008_002749,0.916,0.973,0.94,0.65,0.655,0.987,-0.266,-0.31799999999999995,0.04700000000000004
2008_002762,0.905,0.94,0.961,0.917,0.941,0.973,0.01200000000000001,0.0010000000000000009,0.01200000000000001
2008_002772,0.687,0.701,0.971,0.736,0.739,0.994,0.04899999999999993,0.038000000000000034,0.02300000000000002
2008_002834,0.947,0.978,0.968,0.962,0.979,0.982,0.015000000000000013,0.0010000000000000009,0.014000000000000012
2008_002868,0.686,0.69,0.992,0.731,0.731,0.999,0.04499999999999993,0.041000000000000036,0.007000000000000006
2008_002885,0.241,0.25,0.904,0.208,0.213,0.932,-0.033,-0.037000000000000005,0.028000000000000025
2008_002894,0.667,0.691,0.955,0.676,0.697,0.961,0.009000000000000008,0.006000000000000005,0.006000000000000005
2008_002960,0.563,0.92,0.591,0.562,0.929,0.591,-0.0009999999999998899,0.009000000000000008,0.0
2008_002970,0.924,0.996,0.928,0.971,0.996,0.974,0.04699999999999993,0.0,0.04599999999999993
2008_002972,0.733,0.74,0.986,0.749,0.749,1.0,0.016000000000000014,0.009000000000000008,0.014000000000000012
2008_002993,0.899,0.998,0.901,0.992,0.999,0.993,0.09299999999999997,0.0010000000000000009,0.09199999999999997
2008_003060,0.847,0.882,0.954,0.884,0.913,0.965,0.03700000000000003,0.031000000000000028,0.01100000000000001
2008_003065,0.405,0.644,0.531,0.594,0.726,0.778,0.18899999999999995,0.08199999999999996,0.247
2008_003068,0.807,0.813,0.991,0.809,0.81,0.998,0.0020000000000000018,-0.0029999999999998916,0.007000000000000006
2008_003083,0.963,0.973,0.99,0.969,0.972,0.997,0.006000000000000005,-0.0010000000000000009,0.007000000000000006
2008_003087,0.959,0.968,0.99,0.996,1.0,0.996,0.03700000000000003,0.03200000000000003,0.006000000000000005
2008_003094,0.883,0.918,0.959,0.94,0.941,0.998,0.05699999999999994,0.02299999999999991,0.039000000000000035
2008_003101,0.959,1.0,0.959,0.984,1.0,0.984,0.025000000000000022,0.0,0.025000000000000022
2008_003168,0.077,0.077,1.0,0.077,0.077,1.0,0.0,0.0,0.0
2008_003180,0.9,0.991,0.908,0.943,0.999,0.943,0.04299999999999993,0.008000000000000007,0.03499999999999992
2008_003196,0.948,0.968,0.979,0.984,0.984,1.0,0.03600000000000003,0.016000000000000014,0.02100000000000002
2008_003200,0.731,0.738,0.977,0.731,0.739,0.977,0.0,0.0010000000000000009,0.0
2008_003208,0.882,0.997,0.885,0.935,0.998,0.936,0.05300000000000005,0.0010000000000000009,0.051000000000000045
2008_003252,0.418,0.418,1.0,0.418,0.418,1.0,0.0,0.0,0.0
