name,pseudo_mIoU,pseudo_mprecision,pseudo_mrecall,enhanced_mIoU,enhanced_mprecision,enhanced_mrecall,mIoU_delta,mprecision_delta,mrecall_delta
2007_001872,0.735,0.741,0.989,0.671,0.675,0.991,-0.06399999999999995,-0.06599999999999995,0.0020000000000000018
2007_001901,0.098,0.156,0.238,0.165,0.227,0.344,0.067,0.07100000000000001,0.10599999999999998
2007_001917,0.686,0.745,0.898,0.76,0.773,0.979,0.07399999999999995,0.028000000000000025,0.08099999999999996
2007_001960,0.964,0.993,0.971,0.991,0.992,0.999,0.027000000000000024,-0.0010000000000000009,0.028000000000000025
2007_002024,0.893,0.911,0.978,0.945,0.955,0.989,0.051999999999999935,0.04399999999999993,0.01100000000000001
2007_002055,0.654,0.809,0.769,0.685,0.841,0.781,0.031000000000000028,0.03199999999999992,0.01200000000000001
2007_002088,0.987,0.99,0.997,0.997,0.999,0.997,0.010000000000000009,0.009000000000000008,0.0
2007_002099,0.749,0.766,0.971,0.799,0.812,0.98,0.050000000000000044,0.04600000000000004,0.009000000000000008
2007_002105,0.641,0.712,0.871,0.706,0.78,0.884,0.06499999999999995,0.06800000000000006,0.013000000000000012
2007_002107,0.653,1.0,0.653,1.0,1.0,1.0,0.347,0.0,0.347
2007_002120,0.461,0.945,0.485,0.452,0.469,0.48,-0.009000000000000008,-0.476,-0.0050000000000000044
2007_002142,0.911,0.984,0.925,0.939,0.985,0.953,0.027999999999999914,0.0010000000000000009,0.027999999999999914
2007_002198,0.522,0.541,0.935,0.523,0.53,0.974,0.0010000000000000009,-0.01100000000000001,0.038999999999999924
2007_002212,0.956,0.996,0.96,0.977,0.997,0.98,0.02100000000000002,0.0010000000000000009,0.020000000000000018
2007_002216,0.884,0.893,0.99,0.878,0.911,0.96,-0.006000000000000005,0.018000000000000016,-0.030000000000000027
2007_002227,0.554,0.687,0.741,0.574,0.81,0.666,0.019999999999999907,0.123,-0.07499999999999996
2007_002234,0.907,0.918,0.987,0.992,0.996,0.996,0.08499999999999996,0.07799999999999996,0.009000000000000008
2007_002273,0.771,0.883,0.861,0.794,0.906,0.865,0.02300000000000002,0.02300000000000002,0.0040000000000000036
2007_002281,0.97,0.981,0.988,0.883,0.982,0.898,-0.08699999999999997,0.0010000000000000009,-0.08999999999999997
2007_002293,0.989,1.0,0.99,0.992,1.0,0.992,0.0030000000000000027,0.0,0.0020000000000000018
2007_002361,0.778,0.953,0.815,0.8,0.964,0.829,0.02200000000000002,0.01100000000000001,0.014000000000000012
2007_002368,0.116,0.139,0.398,0.142,0.167,0.431,0.02599999999999998,0.027999999999999997,0.032999999999999974
2007_002370,0.04,0.04,0.95,0.041,0.041,0.95,0.0010000000000000009,0.0010000000000000009,0.0
2007_002403,0.6,0.72,0.747,0.645,0.653,0.987,0.04500000000000004,-0.06699999999999995,0.24
2007_002462,0.732,0.985,0.74,0.737,0.981,0.748,0.0050000000000000044,-0.0040000000000000036,0.008000000000000007
2007_002488,0.746,0.795,0.924,0.749,0.797,0.926,0.0030000000000000027,0.0020000000000000018,0.0020000000000000018
2007_002545,0.528,0.893,0.566,0.536,0.893,0.574,0.008000000000000007,0.0,0.008000000000000007
2007_002611,0.608,0.752,0.773,0.66,0.793,0.807,0.052000000000000046,0.041000000000000036,0.03400000000000003
2007_002639,0.864,0.921,0.934,0.908,0.941,0.962,0.04400000000000004,0.019999999999999907,0.027999999999999914
2007_002668,0.367,0.409,0.805,0.425,0.447,0.892,0.057999999999999996,0.038000000000000034,0.08699999999999997
